RatingID,UserID,WineID,Vintage,Rating,Date
143,1356810,103471,1950,4.5,2021-11-02 20:52:59
199,1173759,111415,1951,5.0,2015-08-20 17:46:26
348,1164877,111395,1952,5.0,2020-11-13 05:40:26
374,1207665,111433,1953,5.0,2017-05-05 06:44:13
834,1075841,111431,1955,5.0,2016-09-14 20:18:38
876,1211463,111395,1955,5.0,2021-12-02 23:12:49
1005,1076348,111433,1955,4.5,2021-06-19 19:53:56
1020,1147051,111429,1955,5.0,2018-07-08 20:09:46
1029,1225931,111431,1955,5.0,2017-04-24 01:41:52
1399,1197513,111415,1958,5.0,2014-07-04 01:07:16
1664,1173759,135885,1958,5.0,2017-10-01 20:26:09
1814,1126910,111429,1959,4.5,2020-10-18 20:43:18
1877,1132934,111478,1959,5.0,2021-10-14 12:31:26
1994,1206567,112094,1959,4.5,2014-11-22 06:22:17
2066,1089224,111478,1959,4.5,2018-01-27 23:19:52
2233,1174133,112229,1959,5.0,2013-11-14 18:20:19
2246,1186609,111415,1959,5.0,2016-01-01 16:45:05
2321,1192369,111478,1959,4.0,2015-03-07 00:56:52
2331,1141874,111478,1959,5.0,2017-11-02 14:52:06
2492,1186609,111429,1959,5.0,2016-02-06 02:06:51
2503,1203892,113240,1959,5.0,2018-12-09 07:49:53
2814,1161518,111458,1959,5.0,2015-08-12 16:24:55
2820,1186609,111395,1959,5.0,2015-08-30 23:19:00
2857,1196521,111395,1959,5.0,2019-07-14 19:08:42
2914,1182360,111434,1959,2.0,2017-01-01 13:20:09
2944,1396037,102547,1959,3.0,2015-10-11 16:25:23
2960,1185156,111417,1959,4.0,2013-08-19 18:32:39
3107,1147051,111433,1959,4.5,2015-11-05 13:11:30
3140,1076528,111415,1959,4.0,2015-01-11 01:28:18
3211,1209683,111478,1959,4.5,2016-08-08 00:50:22
3219,1097099,111433,1959,5.0,2016-02-13 11:26:30
3229,1147051,111478,1959,4.5,2015-03-10 05:07:23
3340,1116023,111415,1959,3.0,2016-04-10 14:14:24
3345,1184213,111415,1959,5.0,2017-08-17 01:38:18
3381,1155090,111429,1959,4.0,2013-09-10 03:17:05
3429,1099189,111395,1959,5.0,2021-06-14 22:54:54
3436,1138007,135885,1959,1.0,2016-04-07 11:20:45
3887,1057007,116266,1960,4.0,2021-11-23 07:51:05
3926,1009268,111395,1960,4.5,2021-02-06 10:09:16
3993,1206263,111395,1960,5.0,2020-02-18 02:46:20
4249,1202919,111431,1961,4.0,2015-06-04 14:36:12
4281,1217955,111516,1961,5.0,2016-10-13 14:20:03
4301,1089224,111415,1961,5.0,2021-10-10 14:22:53
4386,1122503,135885,1961,4.0,2021-05-09 09:54:56
4404,1136814,112229,1961,3.0,2019-06-21 12:02:09
4502,1397936,111395,1961,5.0,2014-04-12 23:09:11
4521,1003635,111415,1961,5.0,2020-02-29 06:26:46
4555,1048395,111415,1961,4.5,2020-02-29 20:10:18
4606,1201816,135885,1961,1.0,2014-09-14 03:45:24
4618,1159744,111538,1961,4.0,2015-08-21 23:28:59
4647,1203892,111422,1961,4.5,2018-05-28 17:53:19
4650,1124584,111417,1961,5.0,2021-10-25 17:31:14
4701,1209563,111478,1961,4.0,2019-07-06 01:27:47
4797,1248668,111415,1961,4.5,2021-06-03 11:18:24
4834,1000096,111395,1961,5.0,2021-09-04 22:46:50
4843,1208785,111475,1961,5.0,2019-03-23 23:50:53
4894,1211375,111458,1961,4.0,2015-12-20 04:10:39
4895,1910249,135885,1961,5.0,2020-07-18 05:49:57
4953,1203928,179021,1961,3.5,2015-05-02 10:42:20
5024,1202919,111433,1961,5.0,2015-07-03 16:42:02
5215,1076240,111478,1961,4.0,2016-08-18 22:08:00
5253,1176768,112616,1961,5.0,2014-11-11 04:01:08
5471,1199196,111458,1961,4.0,2015-12-23 13:25:56
5532,1121579,135885,1961,4.5,2018-08-21 13:50:20
5545,1173535,111927,1961,3.0,2015-04-19 20:56:28
5557,1209326,111429,1961,5.0,2018-02-07 20:36:31
5596,1055875,111417,1961,5.0,2019-06-25 16:42:13
5684,1086594,135885,1961,5.0,2018-06-09 15:14:17
5754,1004834,111415,1961,5.0,2021-09-18 20:31:58
5759,1106592,111415,1961,5.0,2019-04-29 01:23:39
5790,1011730,111458,1961,4.0,2021-12-11 10:22:43
5889,1186273,111458,1962,4.5,2014-12-22 01:04:44
5908,1003702,135885,1962,4.0,2019-11-29 17:34:24
5930,1192981,111478,1962,5.0,2019-05-08 13:55:14
6115,1163440,111475,1962,5.0,2018-05-24 19:56:13
6156,1006025,111415,1962,4.0,2021-12-25 18:23:01
6198,1188648,135885,1962,4.0,2020-11-02 06:50:06
6294,1155090,111433,1962,3.0,2015-12-25 00:59:53
6315,1588076,111479,1962,5.0,2015-01-01 02:59:06
6353,1126116,111433,1962,4.0,2017-01-07 06:47:17
6359,1700500,111429,1962,5.0,2018-01-27 07:31:24
6389,1196550,179080,1962,3.5,2018-06-03 15:28:41
6464,1216691,111458,1962,5.0,2018-03-03 19:45:21
6530,1100011,111422,1962,4.5,2018-03-01 13:11:30
6566,1215276,111415,1962,4.5,2017-03-23 08:31:56
6589,1171045,111415,1962,5.0,2017-03-17 23:22:25
6684,1099514,167449,1963,4.0,2015-06-30 11:01:35
6706,1170202,167449,1963,3.5,2014-06-23 23:35:22
6960,1258435,193483,1963,4.0,2015-02-20 09:59:36
6996,1080882,111415,1963,5.0,2017-01-25 15:51:43
7004,1176000,170982,1963,4.0,2015-09-12 18:38:24
7321,1155499,111395,1963,4.0,2020-01-18 20:16:36
7560,1754651,111433,1964,5.0,2013-07-09 12:20:50
7579,1003660,111544,1964,3.5,2021-09-07 08:36:03
7593,1195081,111415,1964,3.0,2019-10-13 14:46:06
7594,1212048,111457,1964,2.5,2017-11-15 18:32:52
7635,1308941,135885,1964,2.5,2019-04-26 10:07:12
7650,1216864,111417,1964,4.5,2020-03-04 19:31:19
7697,1261858,111415,1964,4.5,2018-08-15 19:41:13
7726,1378828,135885,1964,4.5,2019-02-01 01:11:21
7747,1222470,111431,1964,2.5,2016-06-18 10:14:39
7776,1185156,135885,1964,4.0,2017-09-13 18:14:41
7784,1003644,112247,1964,5.0,2019-12-25 08:25:10
7805,1022324,111395,1964,5.0,2020-11-05 14:09:08
7972,1222683,111516,1964,5.0,2014-11-28 18:05:05
8004,1009872,135885,1964,5.0,2021-11-26 14:26:09
8034,1155318,111415,1964,5.0,2015-11-21 22:59:19
8048,1254601,111544,1964,5.0,2021-10-05 19:06:17
8078,1006594,111415,1964,4.5,2017-09-17 03:35:19
8089,1188869,135885,1964,4.5,2018-10-27 10:27:28
8091,1243603,135885,1964,4.5,2018-10-27 10:32:53
8130,1572100,111475,1964,4.5,2017-12-21 20:26:32
8184,1118460,135885,1964,5.0,2021-09-01 19:36:27
8211,1007207,112084,1964,5.0,2014-12-20 18:05:12
8213,1449042,111475,1964,5.0,2014-04-01 23:02:38
8220,1188261,111395,1964,4.0,2014-12-20 16:02:37
8231,1159566,111417,1964,5.0,2015-07-12 06:37:29
8240,1196804,111395,1964,5.0,2016-03-10 16:00:17
8249,1140347,111431,1964,4.0,2016-12-09 21:24:40
8275,1221502,135885,1964,5.0,2021-11-27 11:38:03
8282,1137887,111433,1964,5.0,2020-12-03 08:02:53
8285,1147034,111431,1964,4.5,2020-01-26 17:21:21
8392,1217270,193478,1964,5.0,2015-11-24 20:44:18
8407,1194241,135885,1964,4.5,2021-11-26 22:54:38
8412,1055469,111415,1964,5.0,2021-05-10 18:47:42
8621,1007564,135885,1964,4.0,2017-04-30 09:22:49
8666,1002048,174184,1964,5.0,2021-06-06 09:10:35
8767,1030482,111544,1964,4.5,2021-11-05 16:23:26
8778,1011504,135885,1964,4.5,2017-05-03 17:04:58
8792,1206263,155308,1964,4.5,2018-05-24 23:55:59
8887,1001396,135885,1964,5.0,2020-08-13 17:35:18
8888,1067971,111415,1964,1.0,2019-02-12 00:58:26
9011,1033786,135885,1964,3.0,2019-10-21 12:46:09
9041,1209403,111429,1964,4.0,2020-09-06 00:15:25
9045,1107275,111415,1964,4.0,2015-09-28 06:20:04
9115,1231427,111431,1964,4.5,2018-12-01 21:25:52
9161,1141339,111458,1964,4.0,2018-01-04 17:44:13
9190,1863413,135885,1964,4.0,2013-09-05 03:23:53
9226,1048395,111434,1964,3.5,2017-09-03 07:23:00
9235,1185880,111458,1964,4.0,2018-05-29 03:55:36
9245,1196804,111431,1964,5.0,2016-02-21 19:54:39
9284,1837896,111415,1964,4.5,2013-12-14 11:11:01
9285,1216807,111415,1964,5.0,2019-02-13 03:19:17
9287,1200858,111516,1964,4.0,2017-03-03 05:22:48
9348,1849250,111415,1964,5.0,2019-08-17 21:13:29
9379,1019334,135885,1964,4.5,2021-12-01 21:20:52
9389,1269177,111458,1964,4.0,2017-05-13 00:58:45
9414,1293142,111422,1964,3.5,2016-02-03 06:03:29
9440,1215876,155308,1964,3.5,2019-11-26 01:35:55
9515,1213290,135885,1965,5.0,2020-09-16 18:50:40
9638,1217955,111484,1965,4.5,2014-05-22 07:04:51
9834,1184455,135885,1965,5.0,2018-11-20 20:14:21
9841,1014542,135885,1965,4.0,2020-09-25 21:50:29
10006,1160536,116266,1965,5.0,2021-12-31 07:08:13
10070,1385979,135859,1965,4.5,2020-04-12 06:25:10
10147,1144881,135885,1965,5.0,2018-11-21 15:32:05
10208,1001065,111433,1966,4.5,2020-03-19 19:59:03
10235,1176366,168284,1966,1.0,2017-03-31 06:12:08
10249,1367319,111395,1966,1.5,2016-05-18 19:41:48
10312,1152054,111429,1966,4.0,2018-11-15 21:36:26
10345,1387091,111415,1966,4.5,2019-04-27 20:41:45
10427,1002010,111475,1966,4.0,2016-10-08 18:40:25
10480,1525866,111429,1966,5.0,2020-05-29 20:04:02
10533,1196521,179080,1966,4.0,2014-12-30 21:00:53
10715,1210126,111516,1966,5.0,2021-10-16 18:20:35
10741,1206650,111667,1966,4.5,2019-02-18 20:51:48
10755,1162513,111415,1966,5.0,2014-07-16 04:44:14
10791,1005876,111475,1966,4.5,2018-07-07 09:00:49
10797,1281623,111433,1966,4.5,2017-11-05 19:49:39
10837,1386382,112094,1966,5.0,2017-01-15 11:25:57
10956,1199196,111415,1966,4.5,2018-12-25 14:23:34
10974,1207617,112094,1966,4.5,2017-07-20 12:52:34
11033,1170224,111478,1966,5.0,2013-01-17 18:37:49
11073,1202806,111433,1966,4.5,2017-11-08 21:39:37
11162,1286502,111475,1966,4.0,2020-02-18 06:11:05
11274,1004834,111587,1966,3.0,2018-10-25 20:12:53
11313,1075311,155339,1966,3.5,2016-09-06 03:03:55
11351,1162966,111431,1966,4.0,2013-02-20 19:14:46
11385,1207577,111475,1966,5.0,2018-07-29 10:18:29
11395,1059838,179080,1966,4.0,2014-12-09 14:10:07
11489,1189968,135885,1966,4.0,2019-06-02 22:39:55
11507,1117957,111422,1966,5.0,2017-08-22 02:58:04
11555,1970683,111433,1966,4.0,2018-09-16 07:37:48
11696,1011504,112616,1966,5.0,2017-04-30 10:34:11
11714,1358141,112243,1966,4.5,2020-05-06 21:02:38
11719,1288893,111475,1966,4.5,2016-11-16 14:55:27
11742,1206982,111417,1966,3.5,2013-12-19 04:08:13
11763,1040098,111415,1966,5.0,2021-03-06 04:16:40
11868,1120869,112243,1966,5.0,2016-07-16 23:10:10
11871,1213735,111395,1966,5.0,2021-12-18 12:31:35
12012,1137887,111415,1966,4.5,2015-12-19 18:31:09
12064,1367299,135885,1967,4.0,2018-05-07 15:07:01
12096,1191303,162455,1967,4.5,2018-12-07 08:25:55
